" "	"Area"	"Mean"	"StdDev"	"Mode"	"Min"	"Max"	"X"	"Y"	"XM"	"YM"	"Perim."	"BX"	"BY"	"Width"	"Height"	"Major"	"Minor"	"Angle"	"Circ."	"Feret"	"IntDen"	"Median"	"Skew"	"Kurt"	"%Area"	"RawIntDen"	"Slice"	"FeretX"	"FeretY"	"FeretAngle"	"MinFeret"	"AR"	"Round"	"Solidity"
1	249	0	0	0	0	0	959.5	83.5	"NaN"	"NaN"	56.284	951	75	17	17	17.806	17.806	0	0.988	19.235	0	0	"NaN"	"NaN"	0	0	1	955	75	117.897	17	1	1	0.969
2	193	0	0	0	0	0	831.5	83.5	"NaN"	"NaN"	50.042	824	76	15	15	15.676	15.676	0	0.969	17.029	0	0	"NaN"	"NaN"	0	0	1	826	77	130.236	15	1	1	0.951
3	145	0	0	0	0	0	703.5	83.5	"NaN"	"NaN"	42.627	697	77	13	13	13.587	13.587	0	1	14.765	0	0	"NaN"	"NaN"	0	0	1	700	77	118.301	13	1	1	0.96
4	109	0	0	0	0	0	575.5	83.5	"NaN"	"NaN"	36.971	570	78	11	11	11.781	11.781	0	1	13.038	0	0	"NaN"	"NaN"	0	0	1	572	78	122.471	11	1	1	0.965
5	69	0	0	0	0	0	447.5	83.5	"NaN"	"NaN"	28.971	443	79	9	9	9.373	9.373	0	1	10.296	0	0	"NaN"	"NaN"	0	0	1	445	79	119.055	9	1	1	0.945
6	45	0	0	0	0	0	319.5	83.5	"NaN"	"NaN"	23.314	316	80	7	7	7.569	7.569	0	1	8.602	0	0	"NaN"	"NaN"	0	0	1	317	80	125.538	7	1	1	0.957
7	25	0	0	0	0	0	191.5	83.5	"NaN"	"NaN"	17.657	189	81	5	5	5.642	5.642	0	1	7.071	0	0	"NaN"	"NaN"	0	0	1	189	81	135	5	1	1	1
8	9	0	0	0	0	0	63.5	83.5	"NaN"	"NaN"	9.657	62	82	3	3	3.385	3.385	0	1	4.243	0	0	"NaN"	"NaN"	0	0	1	62	82	135	3	1	1	1
9	893	0	0	0	0	0	959.518	229.518	"NaN"	"NaN"	110.326	943	213	33	33	33.719	33.719	89.092	0.922	35.355	0	0	"NaN"	"NaN"	0	0	1	947	217	135	33	1	1	0.963
10	793	0	0	0	0	0	831.5	229.5	"NaN"	"NaN"	102.326	816	214	31	31	31.775	31.775	0	0.952	33.015	0	0	"NaN"	"NaN"	0	0	1	822	216	125.134	31	1	1	0.971
