" "	"Label"	"Slice"	"Number"	"XStart"	"YStart"	"Perim"	"Area"	"Pixels"	"XM"	"YM"
1	"Red"	1	1	955	75	54.627	224	249	959	83
2	"Red"	1	2	828	76	48.971	170	193	831	83
3	"Red"	1	3	700	77	40.971	126	145	703	83
4	"Red"	1	4	572	78	35.314	92	109	575	83
5	"Red"	1	5	445	79	27.314	56	69	447	83
6	"Red"	1	6	317	80	21.657	34	45	319	83
7	"Red"	1	7	189	81	16	16	25	191	83
8	"Red"	1	8	62	82	8	4	9	63	83
9	"Red"	1	9	954	213	109.255	844	893	959.018	229.018
10	"Red"	1	10	826	214	101.255	748	793	831	229
11	"Red"	1	11	698	215	95.598	654	697	703	229
12	"Red"	1	12	570	216	87.598	570	609	575	229
13	"Red"	1	13	443	217	81.941	480	517	447	229
14	"Red"	1	14	315	218	73.941	404	437	319	229
15	"Red"	1	15	187	219	68.284	342	373	191	229
16	"Red"	1	16	59	220	62.627	276	305	63	229
17	"Red"	1	17	953	351	161.539	1870	1941	959	375
18	"Red"	1	18	825	352	153.539	1722	1789	831	375
19	"Red"	1	19	697	353	147.882	1584	1649	703	375
20	"Red"	1	20	569	354	142.225	1450	1513	575	375
21	"Red"	1	21	441	355	134.225	1310	1369	447	375
22	"Red"	1	22	313	356	128.569	1188	1245	319	375
23	"Red"	1	23	185	357	120.569	1072	1125	191	375
24	"Red"	1	24	58	358	114.912	954	1005	63	375
25	"Red"	1	25	951	489	213.823	3312	3405	959	521
26	"Red"	1	26	824	490	208.167	3114	3205	831	521
27	"Red"	1	27	696	491	200.167	2910	2997	703	521
28	"Red"	1	28	568	492	194.51	2724	2809	575	521
29	"Red"	1	29	440	493	188.267	2538.5	2621	447.016	521.016
30	"Red"	1	30	312	494	180.853	2370	2449	319	521
31	"Red"	1	31	184	495	175.196	2208	2285	191	521
32	"Red"	1	32	56	496	167.196	2036	2109	63	521
33	"Red"	1	33	950	627	266.108	5142	5257	959	667
34	"Red"	1	34	823	628	260.451	4900	5013	831	667
35	"Red"	1	35	695	629	254.794	4658	4769	703.015	667.015
36	"Red"	1	36	567	630	246.794	4402	4509	575	667
37	"Red"	1	37	439	631	241.137	4176	4281	447	667
38	"Red"	1	38	311	632	233.137	3948	4049	319	667
39	"Red"	1	39	183	633	227.48	3742	3841	191	667
40	"Red"	1	40	55	634	221.823	3520	3617	63.009	667.009
41	"Red"	1	41	950	765	322.392	7384	7523	959.007	813.007
42	"Red"	1	42	822	766	312.735	7074	7209	831	813
43	"Red"	1	43	694	767	307.078	6784	6917	703	813
44	"Red"	1	44	566	768	301.421	6490	6621	575	813
45	"Red"	1	45	438	769	293.421	6222	6349	447	813
46	"Red"	1	46	310	770	287.764	5948	6073	319	813
47	"Red"	1	47	182	771	279.764	5664	5785	191	813
48	"Red"	1	48	54	772	274.108	5402	5521	63	813
49	"Red"	1	49	949	903	373.019	10024	10185	959	959
50	"Red"	1	50	821	904	367.362	9682	9841	831	959
51	"Red"	1	51	693	905	359.362	9314	9469	703.009	959.009
52	"Red"	1	52	565	906	353.706	8988	9141	575	959
53	"Red"	1	53	437	907	345.706	8648	8797	447	959
54	"Red"	1	54	309	908	340.049	8338	8485	319	959
55	"Red"	1	55	181	909	334.392	8020	8165	191.006	959.006
56	"Red"	1	56	54	910	326.392	7684	7825	63	959
